new jersey,201,est,"hackensack, jersey city, union city, rutherford, leonia"
district of columbia,202,est,"washington, district of columbia"
connecticut,203,est,"bridgeport, new haven, stamford, waterbury, norwalk, danbury, greenwich"
alabama,205,cst,"birmingham, huntsville, tuscaloosa, anniston"
washington,206,pst,"seattle, everett"
maine,207,est,all
idaho,208,mst,all
california,209,pst,"stockton, modesto, merced, oakdale"
texas,210,cst,san antonio
new york,212,est,manhattan
california,213,pst,"los angeles, compton"
texas,214,cst,dallas
pennsylvania,215,est,"philadelphia, lansdale, doylestown, newtown, quakertown"
ohio,216,est,"cleveland, terrace, independence, montrose"
illinois,217,cst,"springfield, champaign urbana, decatur, central illinois"
minnesota,218,cst,"duluth, virginia, moorhead, brainerd, wadena"
indiana,219,cst,"gary, hammond, merrillville, portage, michigan city, valparaiso"
ohio,220,est,"portsmouth, newark, zanesville, wheeling, steubenville"
illinois,224,cst,"northbrook, skokie, evanston, glenview, waukegan, desplaines, elk grove, chicago"
louisiana,225,cst,baton rouge and surrounding areas
mississippi,228,cst,"gulfport, biloxi, pascagoula, bay st louis"
georgia,229,est,"albany, valdosta, thomasville, bainbridge, tifton, americus, moultrie, cordele"
michigan,231,est,"muskegon, traverse city, big rapids, cadillac, cheboygan"
ohio,234,est,"akron, youngstown, canton, warren, kent, alliance, medina, new philadelphia"
florida,239,est,"ft myers, naples, cape coral, bonita springs, immokalee, lehigh acres, sanibel, captiva, pine island"
maryland,240,est,"rockville, silver spring, bethesda, gaithersburg, frederick, laurel, hagerstown"
michigan,248,est,"troy, pontiac, royal oak, birmingham, rochester, farmington hills"
alabama,251,cst,"mobile, prichard, tillmans corner, fairhope, jackson, gulfshores"
north carolina,252,est,"greenville, rocky mount, wilson, new bern"
washington,253,pst,"tacoma, kent, auburn"
texas,254,cst,"waco, killeen, temple"
alabama,256,cst,"huntsville, anniston, decatur, gadsden, florence"
indiana,260,est,"fort wayne, huntington, wabash, lagrange"
wisconsin,262,cst,"green bay, appleton, racine, kenosha, oshkosh, waukesha, menomonee falls, west bend, sheboygan"
pennsylvania,267,est,"philadelphia, lansdale, doylestown, newtown, quakertown"
michigan,269,est,"kalamazoo, battle creek, st joseph, three rivers, south haven, benton harbor, sturgis, hastings"
kentucky,270,cst,"bowling green, paducah, owensboro, hopkinsville"
pennsylvania,272,est,"wilkes-barre, scranton, stroudsburg, williamsport, pittston"
virginia,276,est,"martinsville, abingdon, wytheville, bristol, marion, collinsville"
texas,281,cst,"houston, sugar land, buffalo, airline, greenspoint, spring"
maryland,301,est,"rockville, silver spring, bethesda, gaithersburg, frederick, laurel, hagerstown"
delaware,302,est,all
colorado,303,mst,"denver, littleton, englewood, arvada, boulder, aurora"
west virginia,304,est,all
florida,305,est,"miami, perrine, homestead, florida keys"
wyoming,307,mst,all
nebraska,308,cst,"grand island, kearney, north platte, scottsbluff"
illinois,309,cst,"peoria, bloomington, rock island, galesburg, macomb"
california,310,pst,"compton, santa monica, beverly hills, west los angles, inglewood, redondo, el segundo, culver city, torrance"
illinois,312,cst,"chicago, wheeling"
michigan,313,est,"detroit, livonia, dearborn"
missouri,314,cst,"saint louis, ladue, kirkwood, creve coeur, overland, ferguson"
new york,315,est,"syracuse, utica, watertown, rome"
kansas,316,cst,"wichita, hutchinson"
indiana,317,est,"indianapolis, carmel, fishers, greenwood"
louisiana,318,cst,"shreveport, monroe, alexandria, ruston, natchitoches"
iowa,319,cst,"cedar rapids, iowa city, waterloo, burlington"
minnesota,320,cst,"st cloud, alexandria, willmar, little falls"
florida,321,est,"cocoa, melbourne, eau gallie, titusville"
california,323,pst,"los angeles, montebello"
texas,325,cst,"albilene, san angelo, brownwood, synder, swee"
ohio,330,est,"akron, youngstown, canton, warren, kent, alliance, medina, new philadelphia"
illinois,331,cst,"la grange, roselle, hinsdale, downers grove, naperville, lombard, elmhurst, aurora, wheaton"
alabama,334,cst,"montgomery, dothan, auburn, selma, opelika, phenix city, tuskegee"
north carolina,336,est,"greensboro, winston salem, highpoint, burlington, lexington, asheboro, reidsville"
louisiana,337,cst,"lake charles, lafayette, new iberia, leesville, opelousas, crowley"
massachusetts,339,est,"waltham, lexington, burlinton, dedham, woburn, lynn, malden, saugus, reading, braintree, wellesley"
texas,346,cst,"houston, sugar land, buffalo, airline, greenspoint, spring"
new york,347,est,"new york city, bronx, brooklyn, queens, staten island"
massachusetts,351,est,"lowell, lawrence, billerica, concord, wilmington, sudbury, fitchburg, peabody, andover, beverly, danvers"
florida,352,est,"gainesville, ocala, leesburg, brookville"
washington,360,pst,"vancouver, olympia, bellingham, silverdale"
texas,361,cst,"corpus christi, victoria"
kentucky,364,cst,"bowling green, paducah, owensboro, hopkinsville"
ohio,380,est,"columbus, worthington, dublin, reynoldsburg, westerville, gahanna, hilliard"
utah,385,mst,"salt lake city, provo, ogden, orem, american fork, spanish fork, bountiful, kaysville, morgan"
florida,386,est,"daytona, deland, lake city, debary, orange city, new smyrna beach, palatka, palm coast"
rhode island,401,est,all
nebraska,402,cst,"lincoln, omaha, norfolk, columbus"
georgia,404,est,atlanta
oklahoma,405,cst,"oklahoma city, norman, stillwater, britton, bethany, moore"
montana,406,mst,all
florida,407,est,"orlando, winter park, kissimmee, cocoa, lake buena vista, melbourne"
california,408,pst,"san jose, sunnyvale, campbell los gatos, salinas, san martin, saratoga, morgan hill, gilroy"
texas,409,cst,"galveston, beaumont, port arthur, texas city, nederland"
maryland,410,est,"baltimore, annapolis, towson, catonsville, glen burnie"
pennsylvania,412,est,pittsburgh
massachusetts,413,est,"springfield, pittsfield, holyoke, amherst"
wisconsin,414,cst,"milwaukee, greendale, franklin, cudahy, st francis, brown deer, whitefish bay"
california,415,pst,san francisco
missouri,417,cst,"joplin, springfield, branson, lebanon"
ohio,419,est,"toledo, lima, mansfield, sandusky, findlay"
tennessee,423,est,"chattanooga, cleveland, johnson city, bristol, kingsport, athens, morristown, greeneville"
california,424,pst,"compton, santa monica, beverly hills, west la, inglewood, redondo, el segundo, culver city, torrance"
washington,425,pst,"bothell, everett, bellevue, kirkland, renton"
texas,430,cst,"longview, tyler, texarkana, paris, kilgore, sherman, denison"
texas,432,cst,"midland, terminal, odessa, big spring, alpine, pecos, fort stockton"
virginia,434,est,"lynchburg, danville, charlottesville, madison heights, south boston"
utah,435,mst,"logan, st george, park city, tooele, brigham city, richfield, moab, blanding"
ohio,440,est,"willoughby, hillcrest, trinity, lorain, elyria"
california,442,pst,"oceanside, palm springs, victorville, escondido, vista, palm desert"
maryland,443,est,"baltimore, annapolis, towson, catonsville, glen burnie"
oregon,458,pst,"eugene, medford, corvallis, bend, albany, roseburg, klamath falls"
texas,469,cst,"dallas, grand prairie, addison, irving, richardson, plano, carrollton"
georgia,470,est,"atlanta, norcross, chamblee, smyrna, tucker, marietta, alpharetta, gainesville"
connecticut,475,est,"bridgeport, new haven, stamford, waterbury, norwalk, danbury, greenwich"
georgia,478,est,"macon, warner robbins, dublin, milledgeville, forsyth"
arkansas,479,cst,"fort smith, fayetteville, rogers, bentonville, russellville"
arizona,480,mst,"mesa, scottsdale, tempe, chandler, gilbert"
pennsylvania,484,est,"allentown, reading, bethlehem"
arkansas,501,cst,"little rock, hot springs"
kentucky,502,est,"louisville, frankfort, fort knox, pleasure ridge park"
oregon,503,pst,"portland, salem, beaverton, gresham, hillsboro"
louisiana,504,cst,"new orleans, metairie, kenner, chalmette"
new mexico,505,mst,"albuquerque, bernalillo, farmington, gallup, grants, las vegas, los alamos, rio rancho, santa fe"
minnesota,507,cst,"rochester, mankato, winona, faribault, luverne"
massachusetts,508,est,"worcester, framingham, brockton, plymouth, new bedford, marlboro, natick, taunton, auburn, westboro, easton"
washington,509,pst,"spokane, yakima, walla walla, pullman, kenwick"
california,510,pst,"oakland, fremont, newark, hayward, richmond"
texas,512,cst,"austin, san marcos, round rock, dripping springs"
ohio,513,est,"cincinnati, hamilton, clermont, middleton, mason"
iowa,515,cst,"des moines, ames, jefferson"
new york,516,est,"hempstead, oceanside, freeport, long beach, garden city, glen cove, mineola"
michigan,517,est,"lansing, bay city, jackson, howell, adrian"
new york,518,est,"albany, schenectady, troy, glens falls, saratoga springs, lake placid"
arizona,520,mst,"tucson, sierra vista, nogales, douglass, bisbee"
california,530,pst,"chico, redding, marysville, auburn, davis, placerville"
nebraska,531,cst,"lincoln, omaha, norfolk, columbus"
wisconsin,534,cst,"eau claire, wausau, stevens point, superior"
oklahoma,539,cst,"tulsa, broken arrow, muskogee, bartlesville, mcalester"
virginia,540,est,"roanoke, harrisonburg, fredericksburg, blacksburg, winchester, staunton, culpeper"
oregon,541,pst,"eugene, medford, corvallis, bend, albany, roseburg, klamath falls"
new jersey,551,est,"hackensack, jersey city, union city, rutherford, leonia"
california,559,pst,"fresno, visalia, madera, san joaquin, porterville, hanford"
florida,561,est,"palm beaches, boca raton, boynton beach"
california,562,pst,"long beach, norwalk, alamitos, downey, whittier, lakewood, la habra"
iowa,563,cst,"davenport, dubuque, clinton, muscatine, decorah, manchester, west union"
ohio,567,est,"toledo, lima, mansfield, sandusky, findlay"
pennsylvania,570,est,"wilkes-barre, scranton, stroudsburg, williamsport, pittston"
virginia,571,est,"arlington, alexandria, fairfax, falls church, quantico, herndon, vienna"
missouri,573,cst,"columbia, cape girardeau, jefferson city"
indiana,574,est,"south bend, elkhart, mishawaka, granger, la porte"
new mexico,575,mst,"alamogordo, carlsbad, clovis, deming, el rito, galina, hatch, hobbs, las cruces, penasco, raton, taos"
oklahoma,580,cst,"lawton, enid, ponca city, ardmore, duncan"
new york,585,est,"rochester, east rochester, olean, batavia, webster, fairport, henrietta"
michigan,586,est,"warren, mount clemens, roseville, center line, utica, romeo, richmond, washington, new baltimore"
mississippi,601,cst,"jackson, hattiesburg, vicksburg, meridian"
arizona,602,mst,phoenix
new hampshire,603,est,all
south dakota,605,cst,all
kentucky,606,est,"ashland, winchester, pikeville, somerset"
new york,607,est,"elmira, ithaca, stamford, binghamton, endicott, oneonta"
wisconsin,608,cst,"madison, la crosse, janesville, middleton, monroe, platteville, dodgeville"
new jersey,609,est,"atlantic city, trenton, princeton, pleasantville, fort dix, lawrenceville"
pennsylvania,610,est,"allentown, reading, bethlehem, west chester, pottstown"
minnesota,612,cst,"minneapolis, richfield"
ohio,614,est,"columbus, worthington, dublin, reynoldsburg, westerville, gahanna, hilliard"
tennessee,615,cst,"nashville, mufreesboro, hendersonville, frank"
michigan,616,est,"grand rapids, holland, grand haven, greenville, zeeland, ionia"
massachusetts,617,est,"boston, cambridge, quincy, newton, brookline, brighton, somerville, dorchester, hyde park, jamaica plain"
illinois,618,cst,"collinsville, alton, carbondale, belleville, mount vernon, centralia"
california,619,pst,"san diego, chula vista, el cajon, la mesa, national city, coronado"
kansas,620,cst,"hutchinson, emporia, liberal, pittsburg, dodge city, garden city, coffeyville"
arizona,623,mst,"glendale, sun city, peoria"
california,626,pst,"pasadena, alhambra, covina, el monte, la puenta"
california,628,pst,san francisco
tennessee,629,cst,"nashville, mufreesboro, hendersonville, frank"
illinois,630,cst,"la grange, roselle, hinsdale, downers grove, naperville, lombard, elmhurst, aurora, wheaton"
new york,631,est,"brentwood, farmingdale, central islip, riverhead, huntington, deer park, amityville, lindenhurst"
missouri,636,cst,"st charles, fenton, harvester, chesterfield, manchester"
iowa,641,cst,"fairfield, mason city, grinnell, newton, knoxville"
new york,646,est,new york city
california,650,pst,"south san francisco, palo alto, san mateo, mountain view, redwood city"
minnesota,651,cst,"st paul, redwing, farmington, eagan, lino lakes, north branch, roseville valley"
california,657,pst,"anaheim, santa anna"
missouri,660,cst,"warrensburg, kirksville, sedalia, chillicothe, moberly, marshall"
california,661,pst,"bakersfield, santa clarita, palmdale, simi valley"
mississippi,662,cst,"tupelo, columbus, greenwood, greenville, oxford"
maryland,667,est,"baltimore, annapolis, towson, catonsville, glen burnie"
california,669,pst,"san jose, sunnyvale, campbell los gatos, salinas, san martin, saratoga, morgan hill, gilroy"
georgia,678,est,"atlanta, norcross, chamblee, smyrna, tucker, marietta, alpharetta, gainesville"
west virginia,681,est,all
texas,682,cst,"fort worth, arlington, euless, grapevine"
north dakota,701,cst,all
nevada,702,pst,las vegas
virginia,703,est,"arlington, alexandria, fairfax, falls church, quantico, herndon, vienna"
north carolina,704,est,"charlotte, asheville, gastonia, concord, statesville, salisbury, shelby, monroe"
georgia,706,est,"augusta, columbus, athens, rome, dalton"
california,707,pst,"eureka, napa, santa rosa, petaluma, vallejo"
illinois,708,cst,"oak brook, calumet city, harvey, chicago"
iowa,712,cst,"sioux city, council bluffs, spencer, cherokee, denison"
texas,713,cst,"houston, sugar land, buffalo, airline, greenspoint, spring"
california,714,pst,"anaheim, santa anna"
wisconsin,715,cst,"eau claire, wausau, stevens point, superior"
new york,716,est,"buffalo, niagara falls, tonawanda, williamsville, jamestown, lancaster"
pennsylvania,717,est,"harrisburg, york, lancaster"
new york,718,est,"new york, bronx, brooklyn, queens, staten island"
colorado,719,mst,"colorado springs, pueblo, lamar"
colorado,720,mst,"denver, littleton, englewood, arvada, boulder, aurora"
pennsylvania,724,est,"greensburg, uniontown, butler, washington, new castle"
nevada,725,pst,las vegas
florida,727,est,"clearwater, st petersburg, new port richey, tarpon springs"
tennessee,731,cst,"jackson, dyersburg, union city, paris, brownsville"
new jersey,732,est,"new brunswick, metuchen, rahway, perth amboy, toms river, bound brook"
michigan,734,est,"ann arbor, livonia, wayne, wyandotte, ypsilanti, plymouth, monroe"
texas,737,cst,"austin, san marcos, round rock, dripping springs"
ohio,740,est,"portsmouth, newark, zanesville, wheeling, steubenville"
north carolina,743,est,"greensboro, winston salem, highpoint, burlington, lexington, asheboro, reidsville"
california,747,pst,"van nuys, canoga park, burbank, san fernando, glendale, north hollywood"
florida,754,est,"fort lauderdale, hollywood, pompano beach, deerfield beach, coral springs"
virginia,757,est,"norfolk, newport news, williamsburgh"
california,760,pst,"oceanside, palm springs, victorville, escondido, vista, palm desert"
georgia,762,est,"augusta, columbus, athens, rome, dalton"
minnesota,763,cst,"brooklyn park, coon rapids, maple grove, plymouth, cambridge, blaine, anoka"
indiana,765,est,"lafayette, muncie, kokomo, anderson, richmond, marion"
mississippi,769,cst,"jackson, hattiesburg, vicksburg, meridian"
georgia,770,est,"norcross, chamblee, smyrna, tucker, marietta, alpharetta, gainesville"
florida,772,est,"vero beach, port st lucie, stuart, fort pierce, sebastian, hobe sound, jensen beach, indiantown"
illinois,773,cst,chicago
massachusetts,774,est,"worcester, framingham, brockton, plymouth, new bedford, marlboro, natick, taunton, auburn, westboro, easton"
nevada,775,pst,"reno, carson city"
illinois,779,cst,"la salle, joliet, rockford, dekalb"
massachusetts,781,est,"waltham, lexington, burlinton, dedham, woburn, lynn, malden, saugus, reading, braintree, wellesley"
kansas,785,cst,"topeka, lawrence, manhattan, salina, junction"
florida,786,est,"miami, perrine, homestead, florida keys"
utah,801,mst,"salt lake city, provo, ogden, orem, american fork, spanish fork, bountiful, kaysville, morgan"
vermont,802,est,all
south carolina,803,est,columbia
virginia,804,est,"richmond, lynchburg, petersburg,"
california,805,pst,"santa barbara, thousand oaks, san luis obispo, ventura, oxnard, simi valley"
texas,806,cst,"amarillo, lubbock"
hawaii,808,hast,all
michigan,810,est,"flint, port huron, lapeer, brighton, sandusky"
indiana,812,est,"evansville, bloomington, terre haute, new albany"
florida,813,est,tampa
pennsylvania,814,est,"altoona, johnstown, erie, punxsutawney"
illinois,815,cst,"la salle, joliet, rockford, dekalb"
missouri,816,cst,"kansas city, saint joseph, independence, gladstone"
texas,817,cst,"fort worth, arlington, euless, grapevine"
california,818,pst,"van nuys, canoga park, burbank, san fernando, glendale, north hollywood"
north carolina,828,est,"asheville, hickory, morganton, hendersonville, lenoir, boone, andrews, murphy, marble"
texas,830,cst,"new braunfels, del rio, seguin, kerrville, eagle pass, fredericksburg"
california,831,pst,"monterey, santa cruz, salinas, hollister, aptos, carmel"
texas,832,cst,"houston, sugar land, buffalo, airline, greenspoint, spring"
south carolina,843,est,"charleston, florence, myrtle beach, hilton head"
new york,845,est,"poughkeepsie, spring valley, newburgh, kingston, nyack, middletown, brewster, pearl river"
illinois,847,cst,"northbrook, skokie, evanston, glenview, waukegan, desplaines, elk grove,chicago,"
new jersey,848,est,"new brunswick, metuchen, rahway, perth amboy, toms river, bound brook"
florida,850,cst,"tallahassee, pensacola, fort walton beach, panama city"
south carolina,854,est,"charleston, florence, myrtle beach, hilton head"
new jersey,856,est,"camden, haddonfield, moorestown, merchantville, vineland, laurel springs"
massachusetts,857,est,"boston, cambridge, quincy, newton, brookline, brighton, somerville, dorchester, hyde park, jamaica plain"
california,858,pst,"la jolla, rancho bernardo, del mar, poway, rancho penasquitos, rancho santa fe"
kentucky,859,est,"lexington, covington, boone, winchester, richmond, danville, mount sterling"
connecticut,860,est,"hartford, new london, norwich, middletown, bristol"
new jersey,862,est,"newark, morristown, paterson, passaic, orange, bloomfield, caldwell, whippany"
florida,863,est,"lakeland, winter haven, lake wales, sebring, haines city, bartow, avon park, okeechobee, wachula"
south carolina,864,est,"greenville, spartanburg, anderson"
tennessee,865,est,"knoxville, maryville, oak ridge, sevierville, gatlinburg, concord, powell"
arkansas,870,cst,"texarkana, jonesboro, pine bluff, el dorado"
illinois,872,cst,"chicago, wheeling"
pennsylvania,878,est,"greensburg, uniontown, butler, washington, new castle, pittsburgh"
tennessee,901,cst,"memphis, collierville"
texas,903,cst,"longview, tyler, texarkana, paris, kilgore, sherman, denison"
florida,904,est,"jacksonville, saint augustine, orange park, fernandina beach"
michigan,906,est,"marquette, iron mountain, houghton, sault ste marie"
alaska,907,akst,all
new jersey,908,est,"elizabeth, new brunswick, somerville, freehold, unionville, plainfield"
california,909,pst,"san bernardino, ontario, upland, pomona, riverside, colton, chino"
north carolina,910,est,"fayetteville, wilmington, jacksonville, lumberton, laurinburg, southern pines"
georgia,912,est,"savannah, macon, waycross, brunswick, statesboro, vidalia"
kansas,913,cst,"melrose, kansas city"
new york,914,est,"westchester, monroe, mount vernon, mount kisco, pleasantville"
texas,915,mst,"el paso, socorro, fabens, dell city, van horn, fort bliss"
california,916,pst,"sacramento, roseville, fair oaks, folsom, elk grove, south placer"
new york,917,est,"new york city, manhattan, bronx, brooklyn, queens, staten island"
oklahoma,918,cst,"tulsa, broken arrow, muskogee, bartlesville, mcalester"
north carolina,919,est,"raleigh, durham, cary, chapel hill, goldsboro, apex, sanford, wake forest"
wisconsin,920,cst,"green bay, appleton, racine, fond du lac, oshkosh, sheboygan"
california,925,pst,"walnut creek, pleasanton, concord, livermore, bishop ranch, danville, antioch"
arizona,928,mst,"yuma, flagstaff, prescott, sedona, bullhead city, kingman, lake havasu city"
new york,929,est,"new york, bronx, brooklyn, queens, staten island"
indiana,930,est,"evansville, bloomington, terre haute, new albany"
tennessee,931,cst,"clarksville, shelbyville, cookeville, columbia"
new york,934,est,"brentwood, farmingdale, central islip, riverhead, huntington, deer park, amityville, lindenhurst"
texas,936,cst,"conroe, nacogdoches, huntsville, lufkin, madisonville"
ohio,937,est,"dayton, springfield, bellefontaine, beavercreek, franklin"
alabama,938,cst,"huntsville, anniston, decatur, gadsden, florence"
texas,940,cst,"wichita falls, denton, gainesville"
florida,941,est,"sarasota, bradenton, venice, port charlotte, punta gorda"
michigan,947,est,"troy, pontiac, royal oak, birmingham, rochester, farmington hills"
california,949,pst,"irvine, saddleback valley, newport beach, capistrano valley, laguna beach"
california,951,pst,"riverside, corona, temecula, arlington, hemet, moreno valley, murietta, sun city, elsinore"
minnesota,952,cst,"bloomington, burnsville, eden prairie, minnetonka, edina, st louis park, apple valley"
florida,954,est,"fort lauderdale, hollywood, pompano beach, deerfield beach, coral springs"
texas,956,cst,"brownsville, laredo, mcallen, harlingen, edinburg"
connecticut,959,est,"hartford, new london, norwich, middletown, bristol"
colorado,970,mst,"fort collins, greeley, grand junction, loveland, durango, vail"
oregon,971,pst,"portland, salem, beaverton, gresham, hillsboro"
texas,972,cst,"grand prairie, addison, irving, richardson, plano, carrollton"
new jersey,973,est,"newark, morristown, paterson, passaic, orange, bloomfield, caldwell, whippany"
massachusetts,978,est,"lowell, lawrence, billerica, concord, wilmington, sudbury, fitchburg, peabody, andover, beverly, danvers"
texas,979,cst,"bryan, lake jackson, freeport, brenham, bay city, el campo"
north carolina,980,est,"charlotte, asheville, gastonia, concord, statesville, salisbury, shelby, monroe"
north carolina,984,est,"raleigh, durham, cary, chapel hill, goldsboro, apex, sanford, wake forest"
louisiana,985,cst,"houma, slidell, hammond, morgan city, mandeville, covington, thibodaux, bogalusa, st charles"
michigan,989,est,"saginaw, bay city, midland, mount pleasant"
